카페탠저린,제주특별자치도 서귀포시 이어도로 880
킨지,제주특별자치도 서귀포시 막숙포로 56
레이지박스,제주특별자치도 서귀포시 안덕면 산방로 208
써니하우스 커피&핫도그,제주특별자치도 서귀포시 안덕면 산방로 212
구닮카페(구름을닮다),제주특별자치도 서귀포시 안덕면 산방로 210
지오아라,제주특별자치도 서귀포시 안덕면 사계로114번길 54-86
피제리아3657,제주특별자치도 서귀포시 안덕면 난드르로 56
새섬,제주특별자치도 서귀포시 남성중로 40
가름게스트하우스,제주특별자치도 서귀포시 법환하로9번길 10
제주올레 8코스,제주특별자치도 서귀포시 예래해안로 256
바산올레펜션,제주특별자치도 서귀포시 안덕면 대평로 29
산방산,제주특별자치도 서귀포시 안덕면 사계리 산 16
블란디야,제주특별자치도 서귀포시 법환로 15
디오션힐,제주특별자치도 서귀포시 안덕면 사계북로 208
산방산해오름펜션,제주특별자치도 서귀포시 안덕면 사계로114번길 54-83
바다다,제주특별자치도 서귀포시 대포로 148-15
레지나팬션,제주특별자치도 서귀포시 이어도로 789
루시드엠,제주특별자치도 서귀포시 안덕면 사계북로 120
몬떼마레,제주특별자치도 서귀포시 안덕면 사계북로 120 루시드엠빌딩
그린크루즈(산방산유람선),제주특별자치도 서귀포시 안덕면 화순해안로106번길 16
카페피크닉(르피크닉),제주특별자치도 서귀포시 안덕면 대평로 39
산방산클립게스트하우스,제주특별자치도 서귀포시 안덕면 사계로114번길 32
섶섬지기,제주특별자치도 서귀포시 보목로64번길 79
난드르통나무집,제주특별자치도 서귀포시 안덕면 대평로 36
제주올레 9코스,제주특별자치도 서귀포시 안덕면 감산리 982-2
제주올레 6코스,제주특별자치도 서귀포시 보목동 1377-4
박수기정,제주특별자치도 서귀포시 안덕면 난드르로 90-25
올레바다,제주특별자치도 서귀포시 이어도로 903-1
다미안,제주특별자치도 서귀포시 이어도로 905
탐라화덕피자,제주특별자치도 서귀포시 막숙포로 46
늘바다통나무펜션,제주특별자치도 서귀포시 안덕면 대평로 38
와팡,제주특별자치도 서귀포시 이어도로 36-30
제주관광공사 중문면세점 (내국인),제주특별자치도 서귀포시 중문관광로 224(중문동) 제주국제컨벤션센터 1F
법환포구,제주특별자치도 서귀포시 막숙포로37번길 2
호도제과,제주특별자치도 서귀포시 이어도로 923-1 호도제과
새연교,제주특별자치도 서귀포시 서홍동 707-4
중문솥뚜껑,제주특별자치도 서귀포시 이어도로 81
모슬봉 (모슬개오름),제주특별자치도 서귀포시 대정읍 상모로191번길
보미다,"제주특별자치도 서귀포시 이어도로 936-1, 2층 201호"
돔베낭골,제주특별자치도 서귀포시 호근동
산방산 수국,제주특별자치도 서귀포시 안덕면 산방로
북마크하우스&카페,제주특별자치도 서귀포시 대정읍 일과대수로11번길 16-8
그랑블루 요트투어,제주특별자치도 서귀포시 대포로 174
도도펜션,제주특별자치도 서귀포시 안덕면 대평감산로 47
그녀이야기 게스트하우스,제주특별자치도 서귀포시 안덕면 화순해안로130번길 21
대포횟집,제주특별자치도 서귀포시 대포로 169 (대포동)
황우지해안 열두굴,제주특별자치도 서귀포시 서홍동 764-1
서귀포항,제주특별자치도 서귀포시 칠십리로72번길 14
마라도에서온자장면집,제주특별자치도 서귀포시 안덕면 화순해안로 109
원앤온리,제주특별자치도 서귀포시 안덕면 산방로 141
동산나라펜션,제주특별자치도 서귀포시 이어도로 164
보목포구,제주특별자치도 서귀포시 보목포로 46
달콤한소금만들기,제주특별자치도 서귀포시 안덕면 사계로 100
추사 유배길 - 3코스 사색의 길,제주특별자치도 서귀포시 안덕면 향교로 165-17
해담은스파빌,제주특별자치도 서귀포시 안덕면 사계북로 157-15
동도원,제주특별자치도 서귀포시 이어도로 189
화순금모래해수욕장,제주특별자치도 서귀포시 안덕면 화순해안로 91
그랜드메르호텔,제주특별자치도 서귀포시 논짓물로 45
화순금모래해수욕장담수수영장,제주특별자치도 서귀포시 안덕면 화순리 776-8
서귀포층패류화석산지,제주특별자치도 서귀포시 남성중로 43
지삿개풍경,제주특별자치도 서귀포시 이어도로 150
아프리카박물관,제주특별자치도 서귀포시 이어도로 49
창훈이네,제주특별자치도 서귀포시 칠십리로 77
단산(바굼지오름),제주특별자치도 서귀포시 안덕면 향교로 165-23
돔베낭길,제주특별자치도 서귀포시 태평로92번길 49
베르사체,제주특별자치도 서귀포시 이어도로 139-1 (대포동)
외돌개,제주특별자치도 서귀포시 서홍동 791
윈드힐펜션,제주특별자치도 서귀포시 대포연대로 50 (대포동)
조안베어뮤지엄,제주특별자치도 서귀포시 대포로 113 (대포동)
대기정,제주특별자치도 서귀포시 이어도로 41
펜션연리,제주특별자치도 서귀포시 논짓물로48번길 3
햇살정원 제주캠핑,제주특별자치도 서귀포시 보목포로65번길 6
제주올레 7코스,제주특별자치도 서귀포시 서홍동 795-1
중문카라반,제주특별자치도 서귀포시 이어도로 81
다솜펜션,제주특별자치도 서귀포시 이어도로 139
화인호텔,제주특별자치도 서귀포시 칠십리로 87
포트그릴 스테이크하우스,제주특별자치도 서귀포시 솔동산로10번길 48
아이비테라스,제주특별자치도 서귀포시 법환상로 65
제주다음,제주특별자치도 서귀포시 보목포로 27
한일우호연수원,제주특별자치도 서귀포시 남성로128번길 24
마린파크,제주특별자치도 서귀포시 안덕면 화순중앙로 132
이로제주,제주특별자치도 서귀포시 안덕면 대평감산로 75
